Timestamp,Orientation,Inclination,Time_of_day,Date
343455848.91,-16.34,71.69,23:24:08,
343455850.91,-16.34,71.69,23:24:10,
343455852.92,-17.24,72.63,23:24:12,
343455854.92,-18.14,72.71,23:24:14,
343455856.92,174.56,20.31,23:24:16,
343455858.92,-18.43,11.90,23:24:18,
343455860.92,-9.46,11.85,23:24:20,
343455862.92,-13.24,16.76,23:24:22,
343455864.93,-14.93,14.74,23:24:24,
343455866.93,-29.74,15.29,23:24:26,
343455868.93,4.40,12.26,23:24:28,
343455870.93,32.01,8.79,23:24:30,
343455872.93,15.95,7.03,23:24:32,
343455874.93,-11.31,4.86,23:24:34,
343455876.94,-57.99,8.79,23:24:36,
343455878.94,-41.99,12.85,23:24:38,
343455880.94,-40.24,16.10,23:24:40,
343455882.94,-66.80,7.36,23:24:42,
343455885.14,-49.40,9.19,23:24:45,
343455887.35,-32.01,18.32,23:24:47,
343455889.35,-63.43,3.88,23:24:49,
343455891.35,-74.05,7.03,23:24:51,
343455893.35,-47.73,14.14,23:24:53,
343455895.35,-0.00,6.44,23:24:55,
343455897.36,-130.46,57.93,23:24:57,
343455899.36,56.31,53.03,23:24:59,
343455901.56,35.39,59.01,23:25:01,2011-11-19
343455903.56,17.35,82.36,23:25:03,
343455905.56,19.29,83.72,23:25:05,
343455907.56,17.57,81.86,23:25:07,
343455909.57,18.43,81.02,23:25:09,
343455911.57,17.85,80.84,23:25:11,
343455913.57,17.57,80.97,23:25:13,
343455915.57,17.57,81.86,23:25:15,
343455917.57,18.15,80.28,23:25:17,
343455919.58,18.43,81.02,23:25:19,
343455921.58,18.43,81.02,23:25:21,
343455923.58,17.57,80.09,23:25:23,
343455925.58,18.43,80.13,23:25:25,
343455927.58,18.43,80.13,23:25:27,
343455929.58,19.03,78.04,23:25:29,
343455931.59,17.30,81.10,23:25:31,
343455933.59,18.15,79.41,23:25:33,
343455935.59,18.43,80.13,23:25:35,
343455937.59,17.57,80.97,23:25:37,
343455939.59,18.73,79.99,23:25:39,
343455941.59,18.43,81.02,23:25:41,
343455943.60,18.43,81.02,23:25:43,
343455945.60,18.43,81.02,23:25:45,
343455947.60,20.45,75.74,23:25:47,
343455949.60,16.19,80.33,23:25:49,
343455951.60,19.29,79.31,23:25:51,
343455953.61,16.70,79.16,23:25:53,
343455955.61,17.57,79.21,23:25:55,
343455957.61,17.57,79.21,23:25:57,
343455959.61,17.57,79.21,23:25:59,
343455961.61,16.70,79.16,23:26:01,2011-11-19
343455963.61,16.97,79.89,23:26:03,
343455965.62,17.85,79.04,23:26:05,
343455967.62,16.70,80.04,23:26:07,
343455969.62,16.70,78.28,23:26:09,
343455971.62,16.44,80.19,23:26:11,
343455973.62,16.44,79.32,23:26:13,
343455975.62,15.82,80.00,23:26:15,
343455977.63,16.70,79.16,23:26:17,
343455979.63,16.70,78.28,23:26:19,
343455981.63,17.30,80.23,23:26:21,
343455983.63,16.44,80.19,23:26:23,
343455985.63,16.44,79.32,23:26:25,
343455987.64,16.97,78.99,23:26:27,
343455989.64,16.70,79.16,23:26:29,
343455991.64,16.70,79.16,23:26:31,
343455993.64,16.44,79.32,23:26:33,
343455995.64,16.44,79.32,23:26:35,
343455997.64,15.82,79.11,23:26:37,
343455999.65,16.44,79.32,23:26:39,
343456001.65,15.57,80.15,23:26:41,
343456003.65,16.44,80.19,23:26:43,
343456005.65,15.82,80.00,23:26:45,
343456007.65,18.73,79.99,23:26:47,
343456009.65,17.57,79.21,23:26:49,
343456011.66,17.57,79.21,23:26:51,
343456013.66,17.30,80.23,23:26:53,
343456015.66,18.14,77.98,23:26:55,
343456017.66,45.69,61.40,23:26:57,
343456019.66,86.19,48.43,23:26:59,
343456021.66,109.57,52.23,23:27:01,2011-11-19
343456023.67,124.62,53.33,23:27:03,
343456025.67,113.55,46.77,23:27:05,
343456027.67,104.04,48.59,23:27:07,
343456029.67,105.26,53.30,23:27:09,
343456031.67,88.81,50.20,23:27:11,
343456033.68,98.97,77.30,23:27:13,
343456035.68,120.41,82.52,23:27:15,
343456037.68,99.95,69.19,23:27:17,
343456039.68,85.71,42.35,23:27:19,
343456041.68,82.69,41.15,23:27:21,
343456043.68,101.31,65.98,23:27:23,
343456045.69,98.13,70.53,23:27:25,
343456047.69,94.16,70.99,23:27:27,
343456049.69,113.63,72.02,23:27:29,
343456051.69,120.11,76.38,23:27:31,
343456053.69,130.91,74.96,23:27:33,
343456055.70,111.99,76.95,23:27:35,
343456057.70,122.55,75.91,23:27:37,
343456059.70,102.09,76.26,23:27:39,
343456061.70,113.33,75.85,23:27:41,
343456063.70,116.11,75.21,23:27:43,
343456065.70,120.26,75.86,23:27:45,
343456067.71,120.62,76.19,23:27:47,
343456069.71,122.55,75.91,23:27:49,
343456071.71,122.01,76.11,23:27:51,
343456073.71,122.86,76.23,23:27:53,
343456075.71,122.86,75.29,23:27:55,
343456077.71,122.01,76.11,23:27:57,
343456079.72,122.86,77.18,23:27:59,
343456081.72,122.86,76.23,23:28:01,2011-11-19
343456083.72,122.01,76.11,23:28:03,
343456085.72,122.01,77.07,23:28:05,
343456087.72,122.55,76.88,23:28:07,
343456089.73,122.86,76.23,23:28:09,
343456091.73,122.01,77.07,23:28:11,
343456093.73,122.01,76.11,23:28:13,
343456095.73,122.55,75.91,23:28:15,
343456097.73,122.86,76.23,23:28:17,
343456099.73,122.55,75.91,23:28:19,
343456101.74,122.55,75.91,23:28:21,
343456103.74,122.01,76.11,23:28:23,
343456105.74,123.41,76.04,23:28:25,
343456107.74,122.86,76.23,23:28:27,
343456109.74,124.25,76.17,23:28:29,
343456111.75,122.86,75.29,23:28:31,
343456113.75,122.01,76.11,23:28:33,
343456115.75,122.55,75.91,23:28:35,
343456117.75,122.55,75.91,23:28:37,
343456119.75,122.86,76.23,23:28:39,
343456121.75,122.86,76.23,23:28:41,
343456123.76,122.86,75.29,23:28:43,
343456125.76,123.41,76.04,23:28:45,
343456127.76,123.41,77.00,23:28:47,
343456129.76,124.82,76.94,23:28:49,
343456131.76,123.98,75.84,23:28:51,
343456133.76,123.69,76.36,23:28:53,
343456135.77,124.25,76.17,23:28:55,
343456137.77,125.66,76.11,23:28:57,
343456139.77,124.25,76.17,23:28:59,
343456141.77,123.41,77.00,23:29:01,2011-11-19
343456143.77,124.82,76.94,23:29:03,
343456145.78,123.41,76.04,23:29:05,
343456147.78,123.41,76.04,23:29:07,
343456149.78,123.41,76.04,23:29:09,
343456151.78,123.41,76.04,23:29:11,
343456153.78,123.41,76.04,23:29:13,
343456155.78,124.25,76.17,23:29:15,
343456157.79,124.25,76.17,23:29:17,
343456159.79,124.82,75.97,23:29:19,
343456161.79,123.98,75.84,23:29:21,
343456163.79,123.41,76.04,23:29:23,
343456165.79,124.25,76.17,23:29:25,
343456167.79,124.25,76.17,23:29:27,
343456169.80,124.82,75.97,23:29:29,
343456171.80,124.25,75.22,23:29:31,
343456173.80,125.66,76.11,23:29:33,
343456175.80,124.25,76.17,23:29:35,
343456177.80,124.82,76.94,23:29:37,
343456179.81,123.98,76.81,23:29:39,
343456181.81,124.25,76.17,23:29:41,
343456183.81,125.66,76.11,23:29:43,
343456185.81,123.98,75.84,23:29:45,
343456187.81,124.25,77.12,23:29:47,
343456189.81,125.66,76.11,23:29:49,
343456191.82,124.25,75.22,23:29:51,
