"","dates","team1","team2","pointspread","score1","score2","location"
"430","2017/10/15","OAKLAND","LOS ANGELES CHARGERS",-3,16,17,"H"
"431","2017/10/19","OAKLAND","KANSAS CITY",3,31,30,"H"
"432","2017/10/29","OAKLAND","Buffalo",2,14,34,"V"
"433","2017/11/05","OAKLAND","Miami",-3,27,24,"V"
"434","2017/11/12","OAKLAND","  BYE WEEK",NA,NA,NA,NA
"435","2017/11/19","OAKLAND","New England",7,8,33,"N"
"436","2017/11/26","OAKLAND","DENVER",-4,21,14,"H"
"437","2017/12/03","OAKLAND","NEW YORK GIANTS",-9,24,17,"H"
"438","2017/12/10","OAKLAND","Kansas City",4,15,26,"V"
"439","2017/12/17","OAKLAND","DALLAS",3,17,20,"H"
"440","2017/12/25","OAKLAND","Philadelphia",9.5,10,19,"V"
"441","2017/12/31","OAKLAND","LA Chargers",7,10,30,"V"
"442","2017/09/10","PHILADELPHIA","Washington",-1,30,17,"V"
"443","2017/09/17","PHILADELPHIA","Kansas City",4.5,20,27,"V"
"444","2017/09/24","PHILADELPHIA","NEW YORK GIANTS",-6,27,24,"H"
"445","2017/10/01","PHILADELPHIA","LA Chargers",2,26,24,"V"
"446","2017/10/08","PHILADELPHIA","ARIZONA",-6.5,34,7,"H"
"447","2017/10/12","PHILADELPHIA","Carolina",3,28,23,"V"
"448","2017/10/23","PHILADELPHIA","WASHINGTON",-5,34,24,"H"
"449","2017/10/29","PHILADELPHIA","SAN FRANCISCO",-12.5,33,10,"H"
"450","2017/11/05","PHILADELPHIA","DENVER",-7.5,51,23,"H"
"451","2017/11/12","PHILADELPHIA","  BYE WEEK",NA,NA,NA,NA
"452","2017/11/19","PHILADELPHIA","Dallas",-6,37,9,"V"
"453","2017/11/26","PHILADELPHIA","CHICAGO",-13.5,31,3,"H"
"454","2017/12/03","PHILADELPHIA","Seattle",-4,10,24,"V"
"455","2017/12/10","PHILADELPHIA","LA Rams",1,43,35,"V"
"456","2017/12/17","PHILADELPHIA","New York Giants",-7.5,34,29,"V"
"457","2017/12/25","PHILADELPHIA","OAKLAND",-9.5,19,10,"H"
"458","2017/12/31","PHILADELPHIA","DALLAS",3.5,0,6,"H"
"459","2018/01/13","PHILADELPHIA","ATLANTA",2.5,15,10,"H"
"460","2018/01/21","PHILADELPHIA","MINNESOTA",3,38,7,"H"
"461","2018/02/04","PHILADELPHIA","New England",4.5,41,33,"N"
"462","2017/09/10","PITTSBURGH","Cleveland",-9.5,21,18,"V"
"463","2017/09/17","PITTSBURGH","MINNESOTA",-8.5,26,9,"H"
"464","2017/09/24","PITTSBURGH","Chicago",-7.5,17,23,"V"
"465","2017/10/01","PITTSBURGH","Baltimore",-3.5,26,9,"V"
"466","2017/10/08","PITTSBURGH","JACKSONVILLE",-7.5,9,30,"H"
"467","2017/10/15","PITTSBURGH","Kansas City",3.5,19,13,"V"
"468","2017/10/22","PITTSBURGH","CINCINNATI",-4,29,14,"H"
"469","2017/10/29","PITTSBURGH","Detroit",-3,20,15,"V"
"470","2017/11/05","PITTSBURGH","  BYE WEEK",NA,NA,NA,NA
"471","2017/11/12","PITTSBURGH","Indianapolis",-10.5,20,17,"V"
"472","2017/11/16","PITTSBURGH","TENNESSEE",-7,40,17,"H"
"473","2017/11/26","PITTSBURGH","GREEN BAY",-14,31,28,"H"
"474","2017/12/04","PITTSBURGH","Cincinnati",-4.5,23,20,"V"
"475","2017/12/10","PITTSBURGH","BALTIMORE",-5.5,39,38,"H"
"476","2017/12/17","PITTSBURGH","NEW ENGLAND",2.5,24,27,"H"
"477","2017/12/25","PITTSBURGH","Houston",-9.5,34,6,"V"
"478","2017/12/31","PITTSBURGH","CLEVELAND",-5.5,28,24,"H"
"479","2018/01/14","PITTSBURGH","JACKSONVILLE",-7.5,42,45,"H"
"480","2017/09/10","SAN FRANCISCO","CAROLINA",5,3,23,"H"
"481","2017/09/17","SAN FRANCISCO","Seattle",13.5,9,12,"V"
"482","2017/09/21","SAN FRANCISCO","LA RAMS",2.5,39,41,"H"
"483","2017/10/01","SAN FRANCISCO","Arizona",6.5,15,18,"V"
"484","2017/10/08","SAN FRANCISCO","Indianapolis",1.5,23,26,"V"
"485","2017/10/15","SAN FRANCISCO","Washington",11,24,26,"V"
"486","2017/10/22","SAN FRANCISCO","DALLAS",6.5,10,40,"H"
"487","2017/10/29","SAN FRANCISCO","Philadelphia",12.5,10,33,"V"
"488","2017/11/05","SAN FRANCISCO","ARIZONA",2.5,10,20,"H"
"489","2017/11/12","SAN FRANCISCO","NEW YORK GIANTS",3,31,21,"H"
"490","2017/11/19","SAN FRANCISCO","  BYE WEEK",NA,NA,NA,NA
"491","2017/11/26","SAN FRANCISCO","SEATTLE",6.5,13,24,"H"
"492","2017/12/03","SAN FRANCISCO","Chicago",3,15,14,"V"
"493","2017/12/10","SAN FRANCISCO","Houston",2,26,16,"V"
"494","2017/12/17","SAN FRANCISCO","TENNESSEE",-2,25,23,"H"
"495","2017/12/24","SAN FRANCISCO","JACKSONVILLE",4,44,33,"H"
"496","2017/12/31","SAN FRANCISCO","LA Rams",-5,34,13,"V"
"497","2017/09/10","SEATTLE","Green Bay",3,9,17,"V"
"498","2017/09/17","SEATTLE","SAN FRANCISCO",-13.5,12,9,"H"
"499","2017/09/24","SEATTLE","Tennessee",2.5,27,33,"V"
"500","2017/10/01","SEATTLE","INDIANAPOLIS",-12.5,46,18,"H"
"501","2017/10/08","SEATTLE","LA Rams",2,16,10,"V"
"502","2017/10/15","SEATTLE","  BYE WEEK",NA,NA,NA,NA
"503","2017/10/22","SEATTLE","New York Giants",-4,24,7,"V"
"504","2017/10/29","SEATTLE","HOUSTON",-6.5,41,38,"H"
"505","2017/11/05","SEATTLE","WASHINGTON",-7.5,14,17,"H"
"506","2017/11/09","SEATTLE","Arizona",-6,22,16,"V"
"507","2017/11/20","SEATTLE","ATLANTA",-1.5,31,34,"H"
"508","2017/11/26","SEATTLE","San Francisco",-6.5,24,13,"V"
"509","2017/12/03","SEATTLE","PHILADELPHIA",4,24,10,"H"
"510","2017/12/10","SEATTLE","Jacksonville",2.5,24,30,"V"
"511","2017/12/17","SEATTLE","LA RAMS",-1,7,42,"H"
"512","2017/12/24","SEATTLE","Dallas",4.5,21,12,"V"
"513","2017/12/31","SEATTLE","ARIZONA",-8.5,24,26,"H"
"514","2017/09/10","TAMPA BAY","Miami",NA,NA,NA,"V"
"515","2017/09/17","TAMPA BAY","CHICAGO",-7,29,7,"H"
"516","2017/09/24","TAMPA BAY","Minnesota",-2,17,34,"V"
"517","2017/10/01","TAMPA BAY","NEW YORK GIANTS",-2.5,25,23,"H"
"518","2017/10/05","TAMPA BAY","NEW ENGLAND",4.5,14,19,"H"
"519","2017/10/15","TAMPA BAY","Arizona",-2.5,33,38,"V"
"520","2017/10/22","TAMPA BAY","Buffalo",3,27,30,"V"
"521","2017/10/29","TAMPA BAY","CAROLINA",-1.5,3,17,"H"
"522","2017/11/05","TAMPA BAY","New Orleans",7,10,30,"V"
"523","2017/11/12","TAMPA BAY","NEW YORK JETS",-1,15,10,"H"
"524","2017/11/19","TAMPA BAY","Miami",-1,30,20,"V"
"525","2017/11/26","TAMPA BAY","Atlanta",10,20,34,"V"
"526","2017/12/03","TAMPA BAY","Green Bay",2.5,20,26,"V"
"527","2017/12/10","TAMPA BAY","DETROIT",NA,21,24,"H"
"528","2017/12/18","TAMPA BAY","ATLANTA",6.5,21,24,"H"
"529","2017/12/24","TAMPA BAY","Carolina",10,19,22,"V"
"530","2017/12/31","TAMPA BAY","NEW ORLEANS",6,31,24,"H"
"531","2017/09/10","TENNESSEE","OAKLAND",-2.5,16,26,"H"
"532","2017/09/17","TENNESSEE","Jacksonville",-1.5,37,16,"V"
"533","2017/09/24","TENNESSEE","SEATTLE",-2.5,33,27,"H"
"534","2017/10/01","TENNESSEE","Houston",-2.5,14,57,"V"
"535","2017/10/08","TENNESSEE","Miami",1,10,16,"V"
"536","2017/10/16","TENNESSEE","INDIANAPOLIS",-7.5,36,22,"H"
"537","2017/10/22","TENNESSEE","Cleveland",-5.5,12,9,"V"
"538","2017/10/29","TENNESSEE","  BYE WEEK",NA,NA,NA,NA
"539","2017/11/05","TENNESSEE","BALTIMORE",-3.5,23,20,"H"
"540","2017/11/12","TENNESSEE","CINCINNATI",-4.5,24,20,"H"
"541","2017/11/16","TENNESSEE","Pittsburgh",7,17,40,"V"
"542","2017/11/26","TENNESSEE","Indianapolis",-3.5,20,16,"V"
"543","2017/12/03","TENNESSEE","HOUSTON",-7,24,13,"H"
"544","2017/12/10","TENNESSEE","Arizona",-2.5,7,12,"V"
"545","2017/12/17","TENNESSEE","San Francisco",2,23,25,"V"
"546","2017/12/24","TENNESSEE","LA RAMS",6,23,27,"H"
"547","2017/12/31","TENNESSEE","JACKSONVILLE",-2.5,15,10,"H"
"548","2018/01/06","TENNESSEE","Kansas City",8.5,22,21,"V"
"549","2018/01/13","TENNESSEE","New England",13.5,14,35,"V"
"550","2017/09/10","WASHINGTON","PHILADELPHIA",1,17,30,"H"
"551","2017/09/17","WASHINGTON","LA Rams",3,27,20,"V"
"552","2017/09/24","WASHINGTON","OAKLAND",3.5,27,10,"H"
"553","2017/10/02","WASHINGTON","Kansas City",7,20,29,"V"
"554","2017/10/09","WASHINGTON","  BYE WEEK",NA,NA,NA,NA
"555","2017/10/15","WASHINGTON","SAN FRANCISCO",-11,26,24,"H"
"556","2017/10/23","WASHINGTON","Philadelphia",5,24,34,"V"
"557","2017/10/29","WASHINGTON","DALLAS",2.5,19,33,"H"
"558","2017/11/05","WASHINGTON","Seattle",7.5,17,14,"V"
"559","2017/11/12","WASHINGTON","MINNESOTA",1.5,30,38,"H"
"560","2017/11/19","WASHINGTON","New Orleans",9,31,34,"V"
"561","2017/11/23","WASHINGTON","NEW YORK GIANTS",-7.5,20,10,"H"
"562","2017/11/30","WASHINGTON","Dallas",-1.5,14,38,"V"
"563","2017/12/10","WASHINGTON","LA Chargers",6,13,30,"V"
"564","2017/12/17","WASHINGTON","ARIZONA",-4.5,20,15,"H"
"565","2017/12/24","WASHINGTON","DENVER",-3.5,27,11,"H"
"566","2017/12/31","WASHINGTON","New York Giants",-4.5,10,18,"V"
