Timestamp,Orientation,Inclination,Time_of_day,Date
343806198.48,94.84,78.54,00:43:18,
343806200.48,94.84,78.54,00:43:20,
343806202.49,95.81,77.64,00:43:22,
343806204.49,95.91,78.37,00:43:24,
343806206.49,96.77,77.66,00:43:26,
343806208.49,96.88,77.45,00:43:28,
343806210.49,98.82,79.39,00:43:30,
343806212.49,98.82,78.45,00:43:32,
343806214.50,100.74,78.51,00:43:34,
343806216.50,100.74,79.44,00:43:36,
343806218.50,100.74,77.58,00:43:38,
343806220.50,100.74,78.51,00:43:40,
343806222.50,100.74,78.51,00:43:42,
343806224.50,99.78,78.48,00:43:44,
343806226.51,99.78,78.48,00:43:46,
343806228.51,100.92,78.32,00:43:48,
343806230.51,99.95,77.34,00:43:50,
343806232.51,100.74,79.44,00:43:52,
343806234.51,99.95,78.29,00:43:54,
343806236.51,99.78,79.41,00:43:56,
343806238.52,101.11,80.06,00:43:58,
343806240.52,115.64,74.87,00:44:00,2011-11-24
343806242.52,115.25,76.56,00:44:02,
343806244.52,105.00,78.31,00:44:04,
343806246.52,105.00,82.14,00:44:06,
343806248.53,100.92,80.23,00:44:08,
343806250.53,106.07,81.66,00:44:10,
343806252.53,109.03,77.15,00:44:12,
343806254.53,145.10,57.81,00:44:14,
343806256.73,112.89,77.31,00:44:16,
343806258.73,139.94,80.13,00:44:18,
343806260.74,110.32,78.23,00:44:20,
343806262.74,121.48,78.20,00:44:22,
343806264.74,121.48,77.25,00:44:24,
343806266.74,120.62,78.10,00:44:26,
343806268.74,119.74,78.00,00:44:28,
343806270.75,120.11,78.27,00:44:30,
343806272.75,122.01,78.03,00:44:32,
343806274.75,122.01,78.03,00:44:34,
343806276.75,121.48,78.20,00:44:36,
343806278.75,116.57,74.98,00:44:38,
343806280.75,115.20,77.98,00:44:40,
343806282.76,127.87,77.15,00:44:42,
343806284.76,130.71,77.09,00:44:44,
343806286.76,129.94,77.92,00:44:46,
343806288.76,129.94,76.95,00:44:48,
343806290.76,130.71,78.06,00:44:50,
343806292.76,130.71,77.09,00:44:52,
343806294.77,130.71,78.06,00:44:54,
343806296.77,130.71,78.06,00:44:56,
343806298.77,129.14,77.79,00:44:58,
343806300.77,129.94,77.92,00:45:00,2011-11-24
343806302.77,130.71,77.09,00:45:02,
343806304.78,129.29,77.12,00:45:04,
343806306.78,129.94,77.92,00:45:06,
343806308.78,129.29,78.08,00:45:08,
343806310.78,127.69,77.82,00:45:10,
343806312.78,129.29,78.08,00:45:12,
343806314.78,130.71,78.06,00:45:14,
343806316.79,129.29,77.12,00:45:16,
343806318.79,129.14,76.80,00:45:18,
343806320.79,130.06,77.26,00:45:20,
343806322.79,129.29,77.12,00:45:22,
343806324.79,130.71,77.09,00:45:24,
343806326.79,129.94,76.95,00:45:26,
343806328.80,128.50,77.95,00:45:28,
343806330.80,129.94,77.92,00:45:30,
343806332.80,125.07,76.30,00:45:32,
343806334.80,130.71,77.09,00:45:34,
343806336.81,131.38,76.92,00:45:36,
343806338.81,133.53,78.72,00:45:38,
343806340.81,115.64,77.79,00:45:40,
343806342.81,83.35,80.60,00:45:42,
343806344.81,104.26,76.16,00:45:44,
343806346.81,128.33,78.65,00:45:46,
343806348.82,130.71,78.06,00:45:48,
343806350.82,132.14,78.04,00:45:50,
343806352.82,128.50,77.95,00:45:52,
343806354.82,126.25,81.84,00:45:54,
343806356.82,124.82,80.88,00:45:56,
343806358.82,127.87,79.08,00:45:58,
343806360.83,136.43,78.03,00:46:00,2011-11-24
343806362.83,125.07,78.20,00:46:02,
343806364.83,124.51,79.31,00:46:04,
343806366.83,125.66,78.03,00:46:06,
343806368.83,122.86,78.14,00:46:08,
343806370.83,125.07,78.20,00:46:10,
343806372.84,124.51,78.36,00:46:12,
343806374.84,122.55,78.84,00:46:14,
343806376.84,122.86,78.14,00:46:16,
343806378.84,122.86,78.14,00:46:18,
343806380.84,122.55,77.85,00:46:20,
343806382.85,122.32,77.36,00:46:22,
343806384.85,121.48,78.20,00:46:24,
343806386.85,123.41,78.95,00:46:26,
343806388.85,122.01,79.00,00:46:28,
343806390.85,121.48,79.16,00:46:30,
343806392.85,120.62,78.10,00:46:32,
343806394.86,123.69,78.25,00:46:34,
343806396.86,128.37,78.91,00:46:36,
343806398.86,119.74,78.00,00:46:38,
343806400.86,120.62,79.07,00:46:40,
343806402.86,122.86,78.14,00:46:42,
343806404.86,122.86,78.14,00:46:44,
343806406.87,122.01,79.00,00:46:46,
343806408.87,122.86,78.14,00:46:48,
343806410.87,122.86,78.14,00:46:50,
343806412.87,122.86,79.10,00:46:52,
343806414.87,121.48,78.20,00:46:54,
343806416.88,121.48,79.16,00:46:56,
343806418.88,121.48,79.16,00:46:58,
343806420.88,122.01,78.03,00:47:00,2011-11-24
343806422.88,122.01,79.00,00:47:02,
343806424.88,122.01,78.03,00:47:04,
343806426.88,122.86,78.14,00:47:06,
343806428.89,121.48,78.20,00:47:08,
343806430.89,121.14,76.95,00:47:10,
343806432.89,121.48,79.16,00:47:12,
343806434.89,122.01,78.03,00:47:14,
343806436.89,120.62,78.10,00:47:16,
343806438.89,121.14,76.95,00:47:18,
343806440.90,121.14,77.92,00:47:20,
343806442.90,118.37,78.08,00:47:22,
343806444.90,120.62,78.10,00:47:24,
343806446.90,122.01,78.03,00:47:26,
343806448.90,122.01,77.07,00:47:28,
343806450.91,122.86,78.14,00:47:30,
343806452.91,122.86,77.18,00:47:32,
343806454.91,122.55,76.88,00:47:34,
343806456.91,122.55,76.88,00:47:36,
343806458.91,122.86,77.18,00:47:38,
343806460.91,122.01,78.03,00:47:40,
343806462.92,119.25,76.27,00:47:42,
343806464.92,112.93,76.07,00:47:44,
343806466.92,119.25,77.22,00:47:46,
343806468.92,122.86,78.14,00:47:48,
343806470.92,123.69,78.25,00:47:50,
343806472.92,122.86,78.14,00:47:52,
343806474.93,122.01,78.03,00:47:54,
343806476.93,123.41,77.97,00:47:56,
343806478.93,122.86,77.18,00:47:58,
343806480.93,122.01,79.00,00:48:00,2011-11-24
343806482.93,121.48,77.25,00:48:02,
343806484.94,121.14,79.89,00:48:04,
343806486.94,122.01,78.03,00:48:06,
343806488.94,121.48,78.20,00:48:08,
343806490.94,121.48,78.20,00:48:10,
343806492.94,122.01,78.03,00:48:12,
343806494.94,117.85,77.76,00:48:14,
343806496.95,99.95,77.34,00:48:16,
343806498.95,117.44,76.56,00:48:18,
343806500.95,123.42,79.60,00:48:20,
343806502.95,112.93,80.94,00:48:22,
343806504.95,113.86,78.08,00:48:24,
343806506.96,114.78,77.21,00:48:26,
343806508.96,116.57,78.34,00:48:28,
343806510.96,114.78,79.13,00:48:30,
343806512.96,121.48,79.16,00:48:32,
343806514.96,117.01,78.16,00:48:34,
343806516.96,67.52,75.70,00:48:36,
343806518.97,106.50,76.04,00:48:38,
343806520.97,117.95,79.78,00:48:40,
343806522.97,117.01,79.12,00:48:42,
343806524.97,112.54,76.29,00:48:44,
343806526.97,122.55,77.85,00:48:46,
343806528.97,122.86,78.14,00:48:48,
343806530.98,127.07,77.99,00:48:50,
343806532.98,129.94,78.90,00:48:52,
343806534.98,129.94,77.92,00:48:54,
343806536.98,124.82,79.88,00:48:56,
343806538.98,118.77,81.21,00:48:58,
343806540.99,117.44,81.27,00:49:00,2011-11-24
343806542.99,117.01,81.07,00:49:02,
343806544.99,122.32,79.26,00:49:04,
343806546.99,120.80,80.62,00:49:06,
343806548.99,106.22,76.27,00:49:08,
343806550.99,112.54,77.24,00:49:10,
343806553.00,126.47,78.15,00:49:13,
