Timestamp,Orientation,Inclination,Time_of_day,Date
343106691.44,-6.44,79.11,22:24:51,
343106693.44,-4.40,78.72,22:24:53,
343106695.44,-6.34,77.55,22:24:55,
343106697.44,-121.76,65.99,22:24:57,
343106699.45,-116.57,4.26,22:24:59,
343106701.65,-15.95,6.81,22:25:01,2011-11-15
343106703.65,48.01,10.88,22:25:03,
343106705.65,-65.56,11.03,22:25:05,
343106707.65,68.20,5.05,22:25:07,
343106709.66,99.46,5.69,22:25:09,
343106711.66,85.60,12.07,22:25:11,
343106713.66,97.59,14.39,22:25:13,
343106715.66,126.87,4.76,22:25:15,
343106717.66,140.91,18.39,22:25:17,
343106719.67,114.23,21.39,22:25:19,
343106721.67,126.87,10.89,22:25:21,
343106723.67,104.93,14.51,22:25:23,
343106725.67,-141.84,17.35,22:25:25,
343106727.67,78.69,5.20,22:25:27,
343106729.67,126.25,15.74,22:25:29,
343106731.88,-169.70,22.87,22:25:31,
343106733.88,-176.82,32.32,22:25:33,
343106735.88,126.87,5.83,22:25:35,
343106737.88,170.54,12.47,22:25:37,
343106739.88,-163.30,10.20,22:25:39,
343106741.89,128.66,36.04,22:25:41,
343106743.89,-99.87,53.94,22:25:43,
343106745.89,-97.43,52.97,22:25:45,
343106747.89,-63.43,60.42,22:25:47,
343106749.89,154.23,35.59,22:25:49,
343106751.89,114.44,11.77,22:25:51,
343106754.10,-60.95,44.44,22:25:54,
343106756.10,-93.81,43.22,22:25:56,
343106758.10,-114.27,61.01,22:25:58,
343106760.10,-120.96,77.12,22:26:00,2011-11-15
343106762.10,-121.48,76.31,22:26:02,
343106764.11,-136.36,74.03,22:26:04,
343106766.11,-138.53,76.29,22:26:06,
343106768.11,-145.67,71.10,22:26:08,
343106770.11,-155.38,71.18,22:26:10,
343106772.11,-136.43,77.06,22:26:12,
343106774.11,-102.38,67.95,22:26:14,
343106776.12,-119.88,75.52,22:26:16,
343106778.12,-131.28,76.60,22:26:18,
343106780.12,-133.45,74.01,22:26:20,
343106782.12,-138.09,72.03,22:26:22,
343106784.12,-135.00,71.93,22:26:24,
343106786.13,-135.00,73.42,22:26:26,
343106788.13,-135.00,72.00,22:26:28,
343106790.13,-136.51,74.41,22:26:30,
343106792.13,-134.24,74.21,22:26:32,
343106794.13,-135.00,73.00,22:26:34,
343106796.13,-134.24,74.21,22:26:36,
343106798.14,-135.76,73.21,22:26:38,
343106800.14,-135.76,73.21,22:26:40,
343106802.14,-135.00,73.42,22:26:42,
343106804.14,-135.00,74.40,22:26:44,
343106806.14,-134.26,74.60,22:26:46,
343106808.14,-136.51,73.43,22:26:48,
343106810.15,-135.00,74.00,22:26:50,
343106812.15,-135.74,73.63,22:26:52,
343106814.15,-136.51,73.43,22:26:54,
343106816.15,-135.76,73.21,22:26:56,
343106818.15,-135.00,73.42,22:26:58,
