Timestamp,Orientation,Inclination,Time_of_day,Date
343374116.10,-10.39,75.30,00:41:56,
343374118.10,-7.47,75.42,00:41:58,
343374120.10,-6.77,68.84,00:42:00,2011-11-19
343374122.11,-149.93,39.64,00:42:02,
343374124.11,26.57,4.33,00:42:04,
343374126.11,84.29,9.21,00:42:06,
343374128.11,-74.05,13.01,00:42:08,
343374130.11,-11.31,15.82,00:42:10,
343374132.12,-3.37,16.10,00:42:12,
343374134.12,-57.72,20.53,00:42:14,
343374136.12,-12.80,18.61,00:42:16,
343374138.12,138.01,12.85,00:42:18,
343374140.12,160.02,10.69,00:42:20,
343374142.12,-157.17,20.55,00:42:22,
343374144.13,63.43,2.29,00:42:24,
343374146.33,63.43,6.71,00:42:26,
343374148.33,123.69,13.96,00:42:28,
343374150.33,107.10,14.39,00:42:30,
343374152.33,-80.54,11.28,00:42:32,
343374154.34,38.66,6.09,00:42:34,
343374156.34,153.43,14.86,00:42:36,
343374158.34,-98.13,13.70,00:42:38,
343374160.34,-119.36,18.46,00:42:40,
343374162.34,-170.54,11.65,00:42:42,
343374164.34,-112.83,18.96,00:42:44,
343374166.35,-69.44,16.15,00:42:46,
343374168.35,-78.69,10.50,00:42:48,
343374170.35,-64.13,39.81,00:42:50,
343374172.35,-32.47,10.70,00:42:52,
343374174.35,-138.58,21.69,00:42:54,
343374176.36,-154.54,23.30,00:42:56,
343374178.36,-169.92,48.81,00:42:58,
343374180.56,-71.57,12.95,00:43:00,2011-11-19
343374182.56,-59.53,19.09,00:43:02,
343374184.56,-55.01,11.50,00:43:04,
343374186.57,-39.29,13.77,00:43:06,
343374188.57,-81.03,18.96,00:43:08,
343374190.57,-78.69,19.69,00:43:10,
343374192.57,-77.20,21.94,00:43:12,
343374194.57,-36.87,23.50,00:43:14,
343374196.57,-53.13,13.19,00:43:16,
343374198.58,-90.00,19.06,00:43:18,
343374200.58,-71.57,17.02,00:43:20,
343374202.58,153.43,6.28,00:43:22,
343374204.58,-149.86,34.58,00:43:24,
343374206.58,-70.02,23.83,00:43:26,
343374208.59,-71.57,15.25,00:43:28,
343374210.59,-21.80,10.70,00:43:30,
343374212.59,-58.24,27.72,00:43:32,
343374214.79,161.57,5.73,00:43:34,
343374216.79,-29.74,6.96,00:43:36,
