"Population by Town"
"Current date: 10/9/2024 2:52:04 PM (Eastern Daylight Time)"
"Data source: Connecticut_SS, Offense Data"
"Incident Date","Census Tract","Estimated Population",
"2014","Tract 4903.02, Capitol Planning Region","8,674"
"2014","Tract 4903.03, Capitol Planning Region",""
"2014","Tract 4903.04, Capitol Planning Region",""
"2014","Tract 4921, Capitol Planning Region","3,572"
"2014","Tract 4922, Capitol Planning Region","4,163"
"2014","Tract 4923, Capitol Planning Region","5,941"
"2014","Tract 4924, Capitol Planning Region","2,804"
"2014","Tract 4925, Capitol Planning Region","3,253"
"2014","Tract 4926, Capitol Planning Region","6,846"
"2014","Tract 4941, Capitol Planning Region","5,803"
"2014","Tract 4942.01, Capitol Planning Region","4,808"
"2014","Tract 4942.02, Capitol Planning Region","2,889"
"2014","Tract 4943, Capitol Planning Region","4,068"
"2014","Tract 4944, Capitol Planning Region","4,880"
"2014","Tract 4945, Capitol Planning Region","4,678"
"2014","Tract 4946, Capitol Planning Region","3,526"
"2014","Tract 4961, Capitol Planning Region","2,594"
"2014","Tract 4962, Capitol Planning Region","4,484"
"2014","Tract 4963, Capitol Planning Region","3,637"
"2014","Tract 4964, Capitol Planning Region","2,769"
"2014","Tract 4965, Capitol Planning Region","2,708"
"2014","Tract 4966, Capitol Planning Region","2,687"
"2014","Tract 4967, Capitol Planning Region","4,097"
"2014","Tract 4968, Capitol Planning Region","3,628"
"2014","Tract 4969, Capitol Planning Region","6,381"
"2014","Tract 4970, Capitol Planning Region","4,392"
"2014","Tract 4971, Capitol Planning Region","4,361"
"2014","Tract 4972, Capitol Planning Region","2,276"
"2014","Tract 4973, Capitol Planning Region","4,889"
"2014","Tract 4974, Capitol Planning Region","3,927"
"2014","Tract 4975, Capitol Planning Region","3,760"
"2014","Tract 4976, Capitol Planning Region","2,329"
"2014","Tract 4977, Capitol Planning Region","4,477"
"2014","Tract 5001, Capitol Planning Region","3,845"
"2014","Tract 5002, Capitol Planning Region","2,749"
"2014","Tract 5003, Capitol Planning Region","2,011"
"2014","Tract 5004, Capitol Planning Region","1,819"
"2014","Tract 5005, Capitol Planning Region","1,415"
"2014","Tract 5007, Capitol Planning Region","1,200"
"2014","Tract 5009, Capitol Planning Region","2,291"
"2014","Tract 5012, Capitol Planning Region","2,543"
