Timestamp,Orientation,Inclination,Time_of_day,Date
343279709.31,-14.93,77.29,22:28:29,
343279711.50,-13.82,77.44,22:28:31,
343279713.50,-13.82,79.19,22:28:33,
343279715.50,-13.39,80.36,22:28:35,
343279717.51,7.67,80.27,22:28:37,
343279719.51,11.89,79.31,22:28:39,
343279721.51,7.88,86.51,22:28:41,
343279723.51,7.88,85.64,22:28:43,
343279725.51,8.00,85.58,22:28:45,
343279727.51,8.00,85.58,22:28:47,
343279729.52,7.24,85.50,22:28:49,
343279731.52,8.75,86.52,22:28:51,
343279733.52,8.00,86.46,22:28:53,
343279735.52,8.75,85.65,22:28:55,
343279737.52,7.13,85.57,22:28:57,
343279739.53,8.88,86.47,22:28:59,
343279741.53,8.00,85.58,22:29:01,2011-11-17
343279743.53,8.13,85.51,22:29:03,
343279745.53,8.00,85.58,22:29:05,
343279747.53,7.24,85.50,22:29:07,
343279749.54,8.00,86.46,22:29:09,
343279751.54,8.00,85.58,22:29:11,
343279753.54,8.13,84.61,22:29:13,
343279755.54,8.13,85.51,22:29:15,
343279757.54,8.13,86.40,22:29:17,
343279759.55,7.13,85.57,22:29:19,
343279761.55,7.13,86.45,22:29:21,
343279763.55,8.00,85.58,22:29:23,
343279765.55,8.00,85.58,22:29:25,
343279767.55,7.24,85.50,22:29:27,
343279769.56,8.13,85.51,22:29:29,
343279771.56,7.88,85.64,22:29:31,
343279773.56,8.00,86.46,22:29:33,
343279775.56,7.88,86.51,22:29:35,
343279777.57,8.00,85.58,22:29:37,
343279779.57,9.16,85.45,22:29:39,
343279781.57,8.75,85.65,22:29:41,
343279783.57,8.26,85.44,22:29:43,
343279785.57,8.13,85.51,22:29:45,
343279787.58,8.26,85.44,22:29:47,
343279789.58,8.13,86.40,22:29:49,
343279791.58,8.13,85.51,22:29:51,
343279793.58,7.13,86.45,22:29:53,
343279795.58,8.13,84.61,22:29:55,
343279797.59,7.88,85.64,22:29:57,
343279799.59,13.19,83.92,22:29:59,
343279801.59,2.82,71.02,22:30:01,2011-11-17
343279803.59,3.01,35.68,22:30:03,
343279805.60,4.48,51.29,22:30:05,
343279807.60,3.43,50.70,22:30:07,
343279809.60,3.43,50.02,22:30:09,
343279811.60,4.57,50.74,22:30:11,
343279813.60,3.50,50.13,22:30:13,
343279815.61,4.48,51.98,22:30:15,
343279817.61,3.43,50.70,22:30:17,
343279819.61,4.48,51.29,22:30:19,
343279821.61,4.57,50.74,22:30:21,
343279823.61,3.43,51.39,22:30:23,
343279825.62,3.37,51.94,22:30:25,
343279827.62,3.43,50.70,22:30:27,
343279829.62,4.57,50.06,22:30:29,
343279831.62,3.43,50.70,22:30:31,
343279833.62,4.48,51.29,22:30:33,
343279835.62,4.57,50.74,22:30:35,
343279837.63,3.43,50.70,22:30:37,
343279839.63,4.57,50.74,22:30:39,
343279841.83,4.57,50.74,22:30:41,
343279843.83,3.43,50.70,22:30:43,
343279845.83,4.48,51.29,22:30:45,
343279847.84,4.57,51.43,22:30:47,
343279849.84,3.37,52.64,22:30:49,
343279851.84,3.37,51.25,22:30:51,
343279853.84,3.43,50.70,22:30:53,
343279855.84,3.37,50.58,22:30:55,
343279857.85,4.48,51.29,22:30:57,
343279859.85,4.48,51.29,22:30:59,
343279861.85,4.48,51.98,22:31:01,2011-11-17
343279863.85,4.48,51.29,22:31:03,
343279865.85,3.43,50.70,22:31:05,
343279867.85,4.48,51.29,22:31:07,
343279869.86,3.37,51.25,22:31:09,
343279871.86,4.48,51.29,22:31:11,
343279873.86,4.48,51.29,22:31:13,
343279875.86,4.57,50.74,22:31:15,
343279877.86,3.43,50.70,22:31:17,
343279879.87,3.43,50.70,22:31:19,
343279881.87,4.57,50.74,22:31:21,
343279883.87,3.37,51.25,22:31:23,
343279885.87,4.57,50.74,22:31:25,
