Timestamp,Orientation,Inclination,Time_of_day,Date
343719120.35,6.34,57.21,00:32:00,2011-11-23
343719122.54,5.39,55.93,00:32:02,
343719124.54,34.62,52.62,00:32:04,
343719126.74,32.38,56.61,00:32:06,
343719128.75,44.03,44.81,00:32:08,
343719130.75,43.83,32.69,00:32:10,
343719132.75,58.24,51.71,00:32:12,
343719134.75,33.69,27.25,00:32:14,
343719136.75,1.59,35.23,00:32:16,
343719138.76,18.43,30.82,00:32:18,
343719140.76,21.50,34.82,00:32:20,
343719142.76,27.30,35.45,00:32:22,
343719144.76,18.85,39.80,00:32:24,
343719146.76,132.09,44.17,00:32:26,
343719148.77,78.02,31.52,00:32:28,
343719150.77,69.15,44.96,00:32:30,
343719152.77,68.39,72.48,00:32:32,
343719154.77,85.16,77.62,00:32:34,
343719156.97,97.67,60.24,00:32:36,
343719158.97,122.32,78.31,00:32:38,
343719160.98,120.96,80.27,00:32:40,
343719162.98,110.43,79.59,00:32:42,
343719164.98,141.50,81.90,00:32:44,
343719166.98,146.31,82.10,00:32:46,
343719168.98,147.45,80.83,00:32:48,
343719170.98,147.77,81.63,00:32:50,
343719172.99,147.99,79.98,00:32:52,
343719174.99,143.13,78.69,00:32:54,
343719176.99,149.22,80.66,00:32:56,
343719178.99,149.22,81.68,00:32:58,
343719180.99,133.60,79.26,00:33:00,2011-11-23
343719183.00,145.44,78.62,00:33:02,
343719185.00,144.93,79.16,00:33:04,
343719187.00,143.75,79.84,00:33:06,
343719189.00,145.18,78.89,00:33:09,
343719191.00,143.97,79.59,00:33:11,
343719193.01,143.13,78.69,00:33:13,
343719195.01,146.02,78.78,00:33:15,
343719197.01,144.34,79.98,00:33:17,
343719199.01,117.47,78.96,00:33:19,
343719201.01,120.62,78.10,00:33:21,
343719203.01,130.06,80.13,00:33:23,
343719205.02,136.43,80.96,00:33:25,
343719207.02,131.28,80.63,00:33:27,
343719209.02,137.02,77.80,00:33:29,
343719211.02,114.70,81.73,00:33:31,
343719213.02,129.43,83.15,00:33:33,
343719215.02,132.83,79.86,00:33:35,
343719217.03,129.29,81.00,00:33:37,
343719219.03,117.01,78.16,00:33:39,
343719221.03,126.47,80.08,00:33:41,
343719223.03,126.25,80.84,00:33:43,
343719225.03,127.07,79.95,00:33:45,
343719227.04,127.87,80.05,00:33:47,
343719229.04,127.27,80.18,00:33:49,
343719231.04,129.43,81.22,00:33:51,
343719233.04,128.50,80.91,00:33:53,
343719235.04,127.27,80.18,00:33:55,
343719237.04,130.06,80.13,00:33:57,
343719239.05,129.29,80.02,00:33:59,
343719241.05,130.06,80.13,00:34:01,2011-11-23
343719243.05,129.94,80.88,00:34:03,
343719245.05,128.50,80.91,00:34:05,
343719247.05,129.29,80.02,00:34:07,
343719249.06,128.66,81.12,00:34:09,
343719251.06,129.29,80.02,00:34:11,
343719253.06,130.06,81.10,00:34:13,
343719255.06,130.06,81.10,00:34:15,
343719257.06,130.06,81.10,00:34:17,
343719259.06,129.14,80.78,00:34:19,
343719261.07,132.21,80.23,00:34:21,
343719263.07,133.57,80.96,00:34:23,
343719265.07,132.88,80.10,00:34:25,
343719267.07,133.57,80.96,00:34:27,
343719269.07,133.57,80.96,00:34:29,
343719271.08,133.57,80.96,00:34:31,
343719273.08,132.88,81.08,00:34:33,
343719275.08,132.14,80.97,00:34:35,
343719277.08,133.57,79.98,00:34:37,
343719279.08,132.88,81.08,00:34:39,
343719281.08,133.57,80.96,00:34:41,
343719283.09,133.57,80.96,00:34:43,
343719285.09,133.57,80.96,00:34:45,
343719287.09,133.57,80.96,00:34:47,
343719289.09,135.00,80.96,00:34:49,
343719291.09,132.83,79.86,00:34:51,
343719293.09,135.00,80.73,00:34:53,
343719295.10,132.88,81.08,00:34:55,
343719297.10,134.29,81.07,00:34:57,
343719299.10,132.88,80.10,00:34:59,
343719301.10,133.57,79.98,00:35:01,2011-11-23
343719303.10,134.29,79.13,00:35:03,
343719305.11,132.83,80.85,00:35:05,
343719307.11,134.27,80.85,00:35:07,
343719309.11,134.27,80.85,00:35:09,
343719311.11,134.29,80.10,00:35:11,
343719313.11,133.57,79.98,00:35:13,
343719315.11,133.60,81.18,00:35:15,
343719317.12,135.00,80.96,00:35:17,
343719319.12,132.83,80.85,00:35:19,
343719321.12,133.57,80.96,00:35:21,
343719323.12,133.57,80.96,00:35:23,
343719325.12,132.83,80.85,00:35:25,
343719327.13,134.29,81.07,00:35:27,
343719329.13,133.57,80.96,00:35:29,
343719331.13,133.57,80.96,00:35:31,
343719333.13,133.57,80.96,00:35:33,
343719335.13,133.57,80.96,00:35:35,
343719337.13,133.57,80.96,00:35:37,
343719339.14,134.27,80.85,00:35:39,
343719341.14,133.57,79.98,00:35:41,
343719343.14,132.88,80.10,00:35:43,
343719345.14,132.83,81.86,00:35:45,
343719347.14,134.27,79.85,00:35:47,
343719349.15,133.53,81.75,00:35:49,
343719351.15,133.53,80.74,00:35:51,
343719353.15,133.57,80.96,00:35:53,
343719355.15,135.00,80.96,00:35:55,
343719357.15,133.57,79.98,00:35:57,
343719359.15,133.57,79.98,00:35:59,
343719361.16,135.00,80.96,00:36:01,2011-11-23
343719363.16,133.57,80.96,00:36:03,
343719365.16,134.29,81.07,00:36:05,
343719367.16,135.00,80.21,00:36:07,
343719369.16,133.57,79.98,00:36:09,
343719371.17,133.57,80.96,00:36:11,
343719373.17,135.00,80.96,00:36:13,
343719375.17,134.27,80.85,00:36:15,
343719377.17,135.00,80.96,00:36:17,
343719379.17,133.57,80.96,00:36:19,
343719381.17,134.27,80.85,00:36:21,
343719383.18,134.27,80.85,00:36:23,
343719385.18,134.27,79.85,00:36:25,
343719387.18,135.00,80.96,00:36:27,
343719389.18,134.27,80.85,00:36:29,
343719391.18,134.29,81.07,00:36:31,
343719393.19,135.00,80.96,00:36:33,
343719395.19,133.53,80.74,00:36:35,
343719397.19,135.00,80.96,00:36:37,
343719399.19,133.57,79.98,00:36:39,
343719401.19,134.27,80.85,00:36:41,
343719403.19,134.27,80.85,00:36:43,
343719405.20,133.57,79.98,00:36:45,
343719407.20,134.29,80.10,00:36:47,
343719409.20,134.27,80.85,00:36:49,
343719411.20,133.57,80.96,00:36:51,
343719413.20,135.00,80.96,00:36:53,
343719415.20,134.29,81.07,00:36:55,
343719417.21,134.29,80.10,00:36:57,
343719419.21,135.00,79.98,00:36:59,
343719421.21,134.29,81.07,00:37:01,2011-11-23
343719423.21,134.27,80.85,00:37:03,
343719425.21,134.29,80.10,00:37:05,
343719427.22,134.29,81.07,00:37:07,
343719429.22,134.29,80.10,00:37:09,
343719431.22,134.27,79.85,00:37:11,
343719433.22,134.29,81.07,00:37:13,
343719435.22,134.29,80.10,00:37:15,
343719437.22,135.00,79.98,00:37:17,
343719439.23,135.73,80.85,00:37:19,
343719441.23,135.00,80.96,00:37:21,
343719443.23,133.57,79.98,00:37:23,
343719445.23,135.71,80.10,00:37:25,
343719447.23,135.00,80.96,00:37:27,
343719449.24,135.73,80.85,00:37:29,
343719451.24,135.00,79.98,00:37:31,
343719453.24,135.00,79.98,00:37:33,
343719455.24,133.57,79.98,00:37:35,
343719457.24,135.73,80.85,00:37:37,
343719459.24,135.00,80.96,00:37:39,
343719461.25,135.00,80.73,00:37:41,
343719463.25,135.00,80.96,00:37:43,
343719465.25,133.57,79.00,00:37:45,
343719467.25,132.83,79.86,00:37:47,
343719469.25,134.27,80.85,00:37:49,
343719471.26,135.00,80.96,00:37:51,
343719473.26,135.00,80.96,00:37:53,
343719475.26,135.00,79.72,00:37:55,
343719477.26,135.00,80.96,00:37:57,
343719479.26,135.73,79.85,00:37:59,
343719481.26,133.57,79.98,00:38:01,2011-11-23
343719483.27,134.29,80.10,00:38:03,
343719485.27,135.00,79.98,00:38:05,
343719487.27,135.00,80.96,00:38:07,
343719489.27,133.57,80.96,00:38:09,
343719491.27,135.00,79.98,00:38:11,
343719493.28,135.71,81.07,00:38:13,
343719495.28,133.57,80.96,00:38:15,
343719497.28,135.00,79.98,00:38:17,
343719499.28,135.73,80.85,00:38:19,
343719501.28,134.27,80.85,00:38:21,
343719503.28,135.73,80.85,00:38:23,
343719505.29,135.00,80.96,00:38:25,
343719507.29,135.00,80.96,00:38:27,
343719509.29,136.43,79.98,00:38:29,
343719511.29,134.27,80.85,00:38:31,
343719513.29,135.00,80.96,00:38:33,
343719515.30,135.73,80.85,00:38:35,
343719517.30,135.00,79.98,00:38:37,
343719519.30,133.57,79.98,00:38:39,
343719521.30,135.00,80.21,00:38:41,
343719523.30,135.73,79.85,00:38:43,
343719525.30,135.00,80.73,00:38:45,
343719527.31,135.00,79.98,00:38:47,
343719529.31,135.00,79.98,00:38:49,
343719531.31,135.00,79.98,00:38:51,
343719533.31,135.00,80.96,00:38:53,
343719535.31,135.00,80.96,00:38:55,
343719537.31,134.27,79.85,00:38:57,
343719539.32,135.00,79.98,00:38:59,
343719541.32,135.00,80.96,00:39:01,2011-11-23
343719543.32,134.27,80.85,00:39:03,
343719545.32,134.27,79.85,00:39:05,
343719547.32,135.00,79.98,00:39:07,
343719549.33,134.29,81.07,00:39:09,
343719551.33,135.73,79.85,00:39:11,
343719553.33,135.71,80.10,00:39:13,
343719555.33,135.71,80.10,00:39:15,
343719557.33,134.27,79.85,00:39:17,
343719559.33,135.00,79.98,00:39:19,
343719561.34,135.00,79.98,00:39:21,
343719563.34,135.73,79.85,00:39:23,
343719565.34,134.29,80.10,00:39:25,
343719567.34,135.00,79.98,00:39:27,
343719569.34,134.29,80.10,00:39:29,
343719571.35,135.74,79.59,00:39:31,
343719573.35,134.27,80.85,00:39:33,
343719575.35,134.27,79.85,00:39:35,
343719577.35,135.00,79.98,00:39:37,
343719579.35,134.27,79.85,00:39:39,
343719581.35,135.00,82.77,00:39:41,
343719583.36,135.00,80.96,00:39:43,
343719585.36,135.00,79.98,00:39:45,
343719587.36,135.00,79.98,00:39:47,
343719589.36,134.27,79.85,00:39:49,
343719591.36,135.00,80.73,00:39:51,
343719593.37,134.27,80.85,00:39:53,
343719595.37,135.00,80.96,00:39:55,
343719597.37,135.71,80.10,00:39:57,
343719599.37,135.00,79.98,00:39:59,
343719601.37,133.57,80.96,00:40:01,2011-11-23
343719603.37,135.00,79.98,00:40:03,
343719605.38,135.00,79.98,00:40:05,
343719607.38,135.00,79.72,00:40:07,
343719609.38,135.00,79.98,00:40:09,
343719611.38,134.29,80.10,00:40:11,
343719613.38,135.00,80.73,00:40:13,
343719615.38,134.27,79.85,00:40:15,
343719617.39,134.27,79.85,00:40:17,
343719619.39,135.73,79.85,00:40:19,
343719621.39,134.27,79.85,00:40:21,
343719623.39,134.27,79.85,00:40:23,
343719625.39,135.00,79.98,00:40:25,
343719627.40,134.27,79.85,00:40:27,
343719629.40,135.00,80.96,00:40:29,
343719631.40,134.27,79.85,00:40:31,
343719633.40,134.27,80.85,00:40:33,
343719635.40,135.00,79.98,00:40:35,
343719637.40,135.00,79.98,00:40:37,
343719639.41,135.00,79.98,00:40:39,
343719641.41,133.53,79.73,00:40:41,
343719643.41,135.00,79.00,00:40:43,
343719645.41,134.27,79.85,00:40:45,
343719647.41,134.27,79.85,00:40:47,
343719649.42,135.00,79.98,00:40:49,
343719651.42,135.00,80.96,00:40:51,
343719653.42,135.00,79.98,00:40:53,
343719655.42,135.00,79.98,00:40:55,
343719657.42,134.27,80.85,00:40:57,
343719659.42,135.00,79.98,00:40:59,
343719661.43,135.71,80.10,00:41:01,2011-11-23
343719663.43,135.00,79.98,00:41:03,
343719665.43,135.73,79.85,00:41:05,
343719667.43,135.00,80.73,00:41:07,
343719669.43,135.00,79.98,00:41:09,
343719671.43,135.00,79.98,00:41:11,
343719673.44,135.00,80.96,00:41:13,
343719675.44,135.00,79.98,00:41:15,
343719677.44,135.00,80.96,00:41:17,
343719679.44,135.73,79.85,00:41:19,
343719681.44,134.27,80.85,00:41:21,
343719683.45,135.73,78.86,00:41:23,
343719685.45,135.73,80.85,00:41:25,
343719687.45,134.27,79.85,00:41:27,
343719689.45,135.00,79.98,00:41:29,
343719691.45,134.27,80.85,00:41:31,
343719693.45,135.73,79.85,00:41:33,
343719695.46,135.00,79.98,00:41:35,
343719697.46,135.71,80.10,00:41:37,
343719699.46,135.00,79.98,00:41:39,
343719701.46,135.00,79.98,00:41:41,
343719703.46,135.71,80.10,00:41:43,
343719705.47,134.27,79.85,00:41:45,
343719707.47,135.73,80.85,00:41:47,
343719709.47,135.00,79.98,00:41:49,
343719711.47,135.00,79.98,00:41:51,
343719713.47,134.27,79.85,00:41:53,
343719715.47,135.73,80.85,00:41:55,
343719717.48,135.00,79.98,00:41:57,
343719719.48,135.73,80.85,00:41:59,
343719721.48,134.27,79.85,00:42:01,2011-11-23
343719723.48,135.00,80.96,00:42:03,
343719725.48,134.29,79.13,00:42:05,
343719727.48,135.00,80.96,00:42:07,
343719729.49,135.00,80.96,00:42:09,
343719731.49,135.73,80.85,00:42:11,
